top - 15:18:28 up  1:05,  1 user,  load average: 1,39, 1,28, 1,33
Tasks: 255 total,   4 running, 250 sleeping,   1 stopped,   0 zombie
%Cpu(s): 30,6 us,  2,9 sy,  0,0 ni, 63,7 id,  2,7 wa,  0,0 hi,  0,1 si,  0,0 st
KiB Mem :  6103252 total,   115084 free,  5615760 used,   372408 buff/cache
KiB Swap: 11717628 total, 11491324 free,   226304 used.   137720 avail Mem 
  765 root      20   0       0      0      0 S   0,0  0,0   0:00.07 jbd2/sdb4-8
  766 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 ext4-rsv-c+
  871 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop0
  872 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop1
  873 root       0 -20       0      0      0 R   0,0  0,0   0:00.12 loop2
  875 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop3
  876 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop4
  877 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop5
  878 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop6
  879 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop7
  886 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop8
 1064 root      20   0  413640   2216   2216 S   0,0  0,0   0:00.03 ModemManag+
 1072 syslog    20   0  332484   1432   1208 S   0,0  0,0   0:00.52 rsyslogd
 1079 root      20   0    4396   1012   1012 S   0,0  0,0   0:00.68 acpid
 1083 root      20   0   28640   1356   1216 S   0,0  0,0   0:00.06 systemd-lo+
 1096 root      20   0   94452   2364   2340 S   0,0  0,0   0:00.01 cupsd
 1101 root      20   0   30228   1484   1392 S   0,0  0,0   0:00.01 cron
 1114 avahi     20   0   44908   1888   1724 S   0,0  0,0   0:00.16 avahi-daem+
 1115 message+  20   0   44268   3076   1892 S   0,0  0,1   0:01.04 dbus-daemon
 1127 root      20   0  450548   3536   2088 S   0,0  0,1   0:01.15 NetworkMan+
 1129 root      20   0  277088   2668   2560 S   0,0  0,0   0:00.16 accounts-d+
 1130 avahi     20   0   44780     36      0 S   0,0  0,0   0:00.00 avahi-daem+
 1152 root       0 -20   18484   6188   3552 S   0,0  0,1   0:00.41 atop
 1181 root      20   0  274816   2772   2772 S   0,0  0,0   0:00.03 cups-brows+
 1183 root      20   0  278960   3040   2476 S   0,0  0,0   0:00.28 polkitd
 1187 root      20   0   19472    120      0 S   0,0  0,0   0:00.13 irqbalance
 1192 lp        20   0   81244   1892   1892 S   0,0  0,0   0:00.00 dbus
 1197 rabbitmq  20   0    4504    564    564 S   0,0  0,0   0:00.00 rabbitmq-s+
 1200 root      20   0   65508   1068   1068 S   0,0  0,0   0:00.01 sshd
 1214 rabbitmq  20   0    4504   1584   1584 S   0,0  0,0   0:00.00 rabbitmq-s+
 1232 mysql     20   0 1173200   1660   1452 S   0,0  0,0   0:02.30 mysqld
 1304 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 iprt-VBoxW+
 1351 rabbitmq  20   0   26304     32      0 S   0,0  0,0   0:00.03 epmd
 1442 root      20   0  350408   2896   2640 S   0,0  0,0   0:00.02 lightdm
 1469 root      20   0   44028   1376   1152 S   0,0  0,0   0:00.16 wpa_suppli+
 1471 root      20   0  499284  42436  29708 S   0,0  0,7   3:05.05 Xorg
 1483 rabbitmq  20   0 2191772  15068   2844 S   0,0  0,2   0:15.07 beam.smp
 1667 root      20   0   16120   1716   1716 S   0,0  0,0   0:00.00 dhclient
 1678 nobody    20   0   54084    872    788 S   0,0  0,0   0:00.10 dnsmasq
 1852 root      20   0  230304   2836   2640 S   0,0  0,0   0:00.02 lightdm
 1938 rtkit     21   1  183544   2020   2020 S   0,0  0,0   0:00.05 rtkit-daem+
 1942 root      20   0  348544   1508   1112 S   0,0  0,0   0:00.24 upowerd
 1978 rabbitmq  20   0    7504    564    544 S   0,0  0,0   0:00.03 inet_getho+
 1979 rabbitmq  20   0    9624   1048    980 S   0,0  0,0   0:00.00 inet_getho+
 1985 colord    20   0  302472   3072   3072 S   0,0  0,1   0:00.12 colord
 2021 whoopsie  20   0  374004   3068   3068 S   0,0  0,1   0:00.02 whoopsie
 2041 root      20   0   17156   1452   1316 S   0,0  0,0   0:00.00 agetty
 2085 tomcat7   20   0 3021892  64348   2072 S   0,0  1,1   0:08.12 java
 2120 root      20   0   71592   1800   1736 S   0,0  0,0   0:00.12 apache2
 2124 www-data  20   0  360756   1280   1228 S   0,0  0,0   0:00.99 apache2
 2126 www-data  20   0  360756   1280   1228 S   0,0  0,0   0:01.00 apache2
 2269 root      20   0   65408   1348   1252 S   0,0  0,0   0:00.01 master
 2270 postfix   20   0   67476    632    552 S   0,0  0,0   0:00.00 pickup
 2271 postfix   20   0   67524   2012   1912 S   0,0  0,0   0:00.00 qmgr
 2309 damian    20   0   45356   2740   1820 S   0,0  0,0   0:00.02 systemd
 2310 damian    20   0  145756   1012      0 S   0,0  0,0   0:00.00 (sd-pam)
 2316 damian    20   0  207736   2448    572 S   0,0  0,0   0:00.22 gnome-keyr+
 2318 damian    20   0   47700   2432   1256 S   0,0  0,0   0:00.22 upstart
 2397 damian    20   0   34080    268      0 S   0,0  0,0   0:00.01 upstart-ud+
 2407 damian    20   0   44004   3360   1700 S   0,0  0,1   0:01.46 dbus-daemon
 2419 damian    20   0   87568   1632    912 S   0,0  0,0   0:00.07 window-sta+
 2451 damian    20   0  426104   9684   1920 S   0,0  0,2   0:21.01 ibus-daemon
 2467 damian    20   0  525732  10328   3856 S   0,0  0,2   0:01.74 bamfdaemon
 2474 damian    20   0  275744   2556   1812 S   0,0  0,0   0:00.04 gvfsd
 2482 damian    20   0   42504    412      0 S   0,0  0,0   0:00.01 upstart-fi+
 2483 damian    20   0   34012    332      0 S   0,0  0,0   0:00.12 upstart-db+
 2484 damian    20   0  406864   2408   1944 S   0,0  0,0   0:00.00 gvfsd-fuse
 2487 damian    20   0   34124   1360    988 S   0,0  0,0   0:00.31 upstart-db+
 2490 damian    20   0  265488   2768   2224 S   0,0  0,0   0:00.00 ibus-dconf
 2493 damian    20   0  478816   8576   3544 S   0,0  0,1   0:02.64 ibus-ui-gt+
 2495 damian    20   0  429020   7484   3980 S   0,0  0,1   0:00.10 ibus-x11
 2514 damian    20   0  189740   1884   1332 S   0,0  0,0   0:04.47 ibus-engin+
